"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Декор»";"1814.49";"842423944";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"по системе теплоснабжения от ЦТП (Москва, Дмитровское шоссе)";"АО «ТЭП»";"2939.43";"842424020";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"с использованием собственных источников тепловой энергии";"ФГБУ «ЦЖКУ»";"2348.5";"842424093";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"с использованием собственных источников тепловой энергии";"ФГБУ «ЦЖКУ»";"2385.55";"842424121";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"с использованием источников тепловой энергии сторонних производителей";"ФГБУ «ЦЖКУ»";"2206.43";"842424186";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"с использованием источников тепловой энергии сторонних производителей";"ФГБУ «ЦЖКУ»";"2237.1";"842424329";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"Центральный филиал ООО «Газпром энерго»";"2127.46";"842771938";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"Центральный филиал ООО «Газпром энерго»";"2155.23";"842771969";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"Филиал ОК «Ватутинки ФГБУ ОК «БОР» УДП РФ";"1509.52";"842772021";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"Филиал ОК «Ватутинки ФГБУ ОК «БОР» УДП РФ";"1622.88";"842772056";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГАУ «ОК «Шереметьевский»";"2068.23";"842772446";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГАУ «ОК «Шереметьевский»";"2191.47";"842772474";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Мосрентген";"1404.53";"842772539";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Щаповское";"2091.1";"842772575";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Щаповское";"2189.96";"842772599";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Краснопахорское";"2048.85";"842772645";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Краснопахорское";"2219.76";"842772677";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Первомайское";"1322.24";"842772715";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Первомайское";"1333.27";"842772742";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Десеновское";"1621.02";"842772776";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Десеновское";"1667.47";"842772805";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Ерино";"1609.7";"842772839";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФГБУ «ЦЖКУ» поселение Ерино";"1713.91";"842772871";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ЖСК «Измайловский»";"1921.15";"842772913";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ЖСК «Измайловский»";"2002.45";"842772939";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «Теплосетьэнерго»";"2734.64";"842772974";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Теплосетьэнерго»";"2937.13";"842773005";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «РегионЭнергоСервис»";"2067.43";"842773043";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «РегионЭнергоСервис»";"2137.2";"842773073";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ОАО «Дубровицы»";"1899.99";"842773110";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ОАО «Дубровицы»";"2128.8";"842773135";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"МУП «ТРОИЦКТЕПЛОЭНЕРГО»";"1815.05";"842773172";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"МУП «ТРОИЦКТЕПЛОЭНЕРГО»";"1804.55";"842773222";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Энергия тепла»";"1612.25";"842773316";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"КП МЭД п.Филимонки";"1712.31";"842773345";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"КП МЭД п.Филимонки";"1868.81";"842773375";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"КП МЭД ул.Береговая";"1854.96";"842773415";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"КП МЭД ул.Береговая";"2024.54";"842795039";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"31.12.2018";"да/нет";"";"";"";"ООО «КСЦ «Переделкино»";"1800.77";"842796396";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"Потребители, подключенные к тепловой сети до тепловых пунктах, эксплуатируемой теплоснабжающей организацией";"ПАО «МОЭК»";"1742.92";"842798381";
